SN-00
1A-2425_0218;000000000000000000;1A-0000_00
LI-00
n
1;Hour;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
2;Mode;0;0;0;0;0;0;0
3;Gps;0;0;0;0;0;0;0
4;NbSat;0;0;0;0;0;0;0
5;KmH;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Kt;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;Position;0.000000 0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000
8;BatteryV;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;BatteryLevel;0;0;0;0;0;0;0
10;PyroV;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;Temperature;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;R.Pyro;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0
13;PyroStatus;0;0;0;0;0;0;0
14;InternalStatus;0;0;0;0;0;0;0
15;TriggerIndex;0;0;0;0;0;0;0
16;StartBuffer;0;0;0;0;0;0;0
17;ODR;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;SrcDetect;0;0;0;0;0;0;0
19;Cond.Detect;0;0;0;0;0;0;0
20;Setup;E
EV-00
Index;Date;Hour;Event;Record
00000;255/255/255;255:255;Mode 15 Niveau 1 ?;-38
00001;01/01/25;00:02;Mode 0 Niveau 0 Charge On;0
00002;01/01/25;00:02;Mode 0 Niveau 0 Charge Off;0
00003;255/255/255;255:255;Mode 15 Niveau 1 ?;-38
00004;255/255/255;255:255;Mode 15 Niveau 1 ?;-38
00005;02/01/25;02:45;Mode 0 Niveau 0 Start;1
00006;02/01/25;02:45;Mode 0 Niveau 0 Charge Off;1
00007;02/01/25;02:45;Mode 0 Niveau 0 Stop;1
00008;02/01/25;03:24;Mode 0 Niveau 0 Charge On;3
00009;02/01/25;03:24;Mode 0 Niveau 0 Start;3
00010;02/01/25;03:25;Mode 0 Niveau 0 Charge Off;4
00011;02/01/25;03:25;Mode 0 Niveau 0 Stop;4
00012;02/01/25;03:25;Mode 0 Niveau 0 Charge On;36
00013;02/01/25;03:25;Mode 0 Niveau 0 Start;36
00014;02/01/25;03:25;Mode 0 Niveau 0 Charge Off;36
00015;02/01/25;03:25;Mode 0 Niveau 0 Stop;36
00016;02/01/25;18:20;Mode 0 Niveau 0 Charge On;68
00017;02/01/25;18:20;Mode 0 Niveau 0 Charge Off;68
00018;02/01/25;22:02;Mode 0 Niveau 0 Start;69
00019;02/01/25;22:03;Mode 1 Niveau 0 ModeChange;657
00020;02/01/25;22:03;Mode 1 Niveau 0 Stop;657
00021;06/01/25;08:46;Mode 1 Niveau 0 Charge On;658
00022;06/01/25;08:46;Mode 1 Niveau 0 Charge Off;658
00023;06/01/25;08:48;Mode 1 Niveau 0 Charge On;659
00024;06/01/25;08:55;Mode 1 Niveau 0 Charge Off;659
00025;06/01/25;08:55;Mode 1 Niveau 0 Charge On;660
00026;06/01/25;09:03;Mode 1 Niveau 0 Charge Off;660
00027;06/01/25;09:03;Mode 1 Niveau 0 Charge On;661
00028;06/01/25;09:15;Mode 1 Niveau 0 Charge Off;661
00029;06/01/25;20:19;Mode 1 Niveau 0 Charge On;662
00030;06/01/25;20:19;Mode 1 Niveau 0 Charge Off;662
00031;06/01/25;20:19;Mode 1 Niveau 0 Charge On;663
00032;06/01/25;20:22;Mode 1 Niveau 0 Charge Off;663
00033;06/01/25;20:22;Mode 1 Niveau 0 Charge On;664
00034;06/01/25;20:22;Mode 1 Niveau 0 Start;664
00035;06/01/25;20:24;Mode 1 Niveau 0 GPS Bypass;664
00036;06/01/25;20:27;Mode 1 Niveau 0 Charge Off;664
00037;06/01/25;20:27;Mode 1 Niveau 0 Stop;664
00038;06/01/25;20:27;Mode 1 Niveau 0 Charge On;696
00039;06/01/25;20:27;Mode 1 Niveau 0 Charge Off;696
00040;06/01/25;20:27;Mode 1 Niveau 0 Charge On;697
00041;06/01/25;20:27;Mode 1 Niveau 0 Start;697
00042;06/01/25;20:27;Mode 1 Niveau 0 Charge Off;697
00043;06/01/25;20:27;Mode 1 Niveau 0 Stop;697
00044;255/255/255;255:255;Mode 15 Niveau 1 ?;-38
00045;17/02/26;08:57;Mode 1 Niveau 0 Start;2553
