SN-00;;;;;;;;;;;;;;;;;;;;;;;;;
1A-2425_0218;0;1A-0000_00;;;;;;;;;;;;;;;;;;;;;;;
LI-00;;;;;;;;;;;;;;;;;;;;;;;;;
0;Date;00/00/00;00/00/00;00/00/00;00/00/00;00/00/00;00/00/00;00/00/00;;;;;;;;;;;;;;;;;
1;Hour;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;;;;;;;;;;;;;;;;
2;Mode;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
3;Gps;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
4;NbSat;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
5;KmH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;
6;Kt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;
7;Position;0.000000 0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;;;;;;;;;;;;;;;;;
8;BatteryV;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;
9;BatteryLevel;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
10;PyroV;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;
11;Temperature;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;
12;R.Pyro;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;0.0:0.0:0.0:0.0;;;;;;;;;;;;;;;;;
13;PyroStatus;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
14;InternalStatus;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
15;TriggerIndex;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
16;StartBuffer;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
17;ODR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;
18;SrcDetect;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
19;Cond.Detect;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
20;Setup;Ej`;;;;;;;;;;;;;;;;;;;;;;;
EV-00;;;;;;;;;;;;;;;;;;;;;;;;;
Index;Date;Hour;Event;Record;;;;;;;;;;;;;;;;;;;;;
RC-00;;;;;;;;;;;;;;;;;;;;;;;;;
Index;Date;Hour;Nb Sat.;GPS;KmH;Kt;GPS Position;X ACC;Y ACC;Z ACC;X GYR;Y GYR;Z GYR;X Angle;Y Angle;Battery V;Battery Level;Pyro V;Temperature;Mode;Radio Event;SrcDetect;EquaDetect;Internal status;Pyro status
0;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
1;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
2;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
3;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
4;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
5;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
6;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
7;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
8;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
9;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
10;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
11;01/06/2026;08:28:36;0;0;0.0;0.0;0.000000 0.000000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.3;16;2.2;33;0;0;0;0;898;255
